Date,Close
2010. 05. 18,80.43
2010. 05. 19,80.45
2010. 05. 20,80.59
2010. 05. 21,80.7
2010. 05. 24,80.69
2010. 05. 25,80.71
2010. 05. 26,80.61
2010. 05. 27,80.3
2010. 05. 28,80.46
2010. 06. 01,80.28
2010. 06. 02,80.21
2010. 06. 03,80.12
2010. 06. 04,80.34
2010. 06. 07,80.59
2010. 06. 08,80.56
2010. 06. 09,80.56
2010. 06. 10,80.23
2010. 06. 11,80.36
2010. 06. 14,80.38
2010. 06. 15,80.24
2010. 06. 16,80.43
2010. 06. 17,80.65
2010. 06. 18,80.62
2010. 06. 21,80.64
2010. 06. 22,80.83
2010. 06. 23,81.03
2010. 06. 24,80.92
2010. 06. 25,81.02
2010. 06. 28,81.17
2010. 06. 29,81.36
2010. 06. 30,81.38
2010. 07. 01,81.19
2010. 07. 02,81.14
2010. 07. 06,81.34
2010. 07. 07,81.24
2010. 07. 08,81.18
2010. 07. 09,81.09
2010. 07. 12,81.12
2010. 07. 13,80.98
2010. 07. 14,81.19
2010. 07. 15,81.27
2010. 07. 16,81.54
2010. 07. 19,81.45
2010. 07. 20,81.44
2010. 07. 21,81.73
2010. 07. 22,81.64
2010. 07. 23,81.5
2010. 07. 26,81.54
2010. 07. 27,81.5
2010. 07. 28,81.64
2010. 07. 29,81.73
2010. 07. 30,81.85
2010. 08. 02,81.6
2010. 08. 03,81.82
2010. 08. 04,81.66
2010. 08. 05,81.79
2010. 08. 06,82.03
2010. 08. 09,81.93
2010. 08. 10,82.1
2010. 08. 11,82.16
2010. 08. 12,82.01
2010. 08. 13,82.24
2010. 08. 16,82.55
2010. 08. 17,82.43
2010. 08. 18,82.38
2010. 08. 19,82.57
2010. 08. 20,82.46
2010. 08. 23,82.51
2010. 08. 24,82.8
2010. 08. 25,82.69
2010. 08. 26,82.76
2010. 08. 27,82.38
2010. 08. 30,82.75
2010. 08. 31,82.89
2010. 09. 01,82.4
2010. 09. 02,82.24
2010. 09. 03,82.09
2010. 09. 07,82.44
2010. 09. 08,82.21
2010. 09. 09,81.9
2010. 09. 10,81.8
2010. 09. 13,82.01
2010. 09. 14,82.13
2010. 09. 15,82.05
2010. 09. 16,81.92
2010. 09. 17,82
2010. 09. 20,82.06
2010. 09. 21,82.36
2010. 09. 22,82.43
2010. 09. 23,82.45
2010. 09. 24,82.26
2010. 09. 27,82.61
2010. 09. 28,82.79
2010. 09. 29,82.7
2010. 09. 30,82.66
2010. 10. 01,82.37
2010. 10. 04,82.58
2010. 10. 05,82.6
2010. 10. 06,82.81
2010. 10. 07,82.93
2010. 10. 08,82.83
2010. 10. 11,82.8
2010. 10. 12,82.72
2010. 10. 13,82.85
2010. 10. 14,82.53
2010. 10. 15,82.34
2010. 10. 18,82.65
2010. 10. 19,82.77
2010. 10. 20,82.74
2010. 10. 21,82.67
2010. 10. 22,82.62
2010. 10. 25,82.67
2010. 10. 26,82.44
2010. 10. 27,82.27
2010. 10. 28,82.55
2010. 10. 29,82.7
